currentPrice,datatime,high_5m,low_5m,price_5m,high_5m_confidence,low_5m_confidence,price_5m_confidence
0,0,0,0,0,0,0,0
62956.0,1714406940000.0,62811.411361985614,62521.85787689167,62577.85003880282,0.8559260905469909,0.6906189094602737,0.706801111552111
62947.5,1714407000000.0,62802.33380894781,62521.85234411308,62569.74152087967,0.8647333902652926,0.7183368564549413,0.7108036961458593
62950.0,1714407060000.0,62806.5233687893,62524.72593225945,62572.45065703894,0.8591230513450723,0.7094820964049654,0.7023477196233066
63052.5,1714407060000.0,62896.33692897576,62441.02782834184,62605.6373434758,0.8427870148658206,0.6436154705264908,0.5765005564169112
63037.4,1714407180000.0,62882.142548479256,62432.54324488319,62599.109881437376,0.8405297578803789,0.6297144740359175,0.6232711671365345
63024.0,1714407240000.0,62870.64662681525,62420.43082435992,62589.28360522344,0.8348048514566607,0.6342866515966905,0.6145096551991099
63000.0,1714407300000.0,62846.058371859,62457.233146875,62561.474706276,0.8459260369176006,0.6869286696900696,0.6355159744678361
62959.7,1714407360000.0,62807.399485962924,62450.23982769624,62592.661823899514,0.853809590229379,0.6843892119225394,0.7314998455915095
62949.1,1714407360000.0,62798.46517197104,62458.96569800283,62582.968998340366,0.8603594072479278,0.694011706096938,0.7391299134638842
62948.1,1714407480000.0,62794.714290640084,62347.18651672298,62524.91787341366,0.8454790217231085,0.6837499138507553,0.6565410896982465
63042.9,1714407540000.0,62883.112430405505,62408.78292711797,62517.57374622572,0.8301749485545027,0.682473179315837,0.5545989352468034
63040.4,1714407600000.0,62882.006490700376,62402.79432238597,62517.58413670055,0.8283031572916715,0.6853268574431854,0.5488440959058339
62956.0,1714407660000.0,62798.607293773384,62335.45229437308,62448.49249243001,0.8278482324292327,0.6540658526989261,0.5887026047317805
62994.0,1714407660000.0,62836.22390592288,62351.06785519598,62470.20427423365,0.8302091277950648,0.687566333737283,0.5866741742148998
62972.2,1714407780000.0,62813.13183879552,62348.00326590344,62462.074029004354,0.8312762228585118,0.659828309494049,0.5893897534057575
62984.0,1714407840000.0,62829.0857640895,62375.02946862508,62462.18079126815,0.856356474463781,0.622920394160581,0.5774380422080418
62983.9,1714407900000.0,62829.26993926434,62377.23732135032,62465.225162587834,0.857483819206558,0.6225304681701482,0.573263496797634
62985.0,1714407960000.0,62829.31467575314,62379.98867276787,62471.27042428057,0.8595665977759981,0.6232319586145976,0.5655076832721826
62962.0,1714408020000.0,62807.657875140496,62382.63223467651,62552.08637272609,0.8430398539680559,0.6261479546381405,0.6627769865616184
63000.0,1714408080000.0,62839.509762834,62411.781017313006,62567.517015675,0.8409130602602932,0.6217888745647344,0.6286678340648701
62949.9,1714408140000.0,62795.27015306924,62430.37513224516,62556.12249912526,0.8465608440806552,0.7006569081102177,0.6929319723028686
62872.4,1714408200000.0,62724.37498532519,62412.403925119215,62483.08665799997,0.8456928962713319,0.7950994963168394,0.7161593910849082
62833.3,1714408260000.0,62689.47695290674,62423.85494713868,62502.541204970286,0.8511869052540644,0.7255266347220217,0.7555678912661192
62839.0,1714408320000.0,62694.00696279172,62415.784532225174,62493.73197872477,0.8520911900218342,0.7659970220675993,0.7317267624044326
62860.2,1714408380000.0,62717.428682368554,62396.57321008979,62495.74065712495,0.8689691109218127,0.7650633532584163,0.6950588048851498
62872.6,1714408440000.0,62728.26560101367,62401.53410729352,62509.044850417195,0.8584001605366645,0.7121866706378649,0.6911698990209213
62900.0,1714408500000.0,62754.227568745904,62375.0653393245,62491.4180462743,0.8589944654274327,0.6743647036229524,0.680806088471814
62873.4,1714408560000.0,62729.49923853948,62226.19378923278,62489.45555711049,0.8640697431878374,0.6426069317225982,0.7575776310528961
62823.0,1714408620000.0,62679.870835423986,62210.078857027926,62499.553669752175,0.8462505375638006,0.6071844530637442,0.8312923807771037
62810.0,1714408680000.0,62667.036552697056,62204.85227226974,62500.51772836388,0.8463009129344576,0.6209919373837698,0.8329360123415248
62844.8,1714408740000.0,62683.21891277286,62175.77881498862,62487.68907376107,0.8209967462498708,0.5922924699927885,0.6829438489358686
62818.0,1714408800000.0,62661.849479636054,62165.78703252126,62500.37413452617,0.8280071247655219,0.6372193389657956,0.8083726083308405
62816.4,1714408860000.0,62658.89188185958,62166.946211313,62501.940650829514,0.8263343334178493,0.6310113449423216,0.8094010804721722
62819.4,1714408920000.0,62657.92157083211,62120.438844927194,62333.93386888297,0.824577124376221,0.42561011839296603,0.5798194385607546
62820.0,1714408920000.0,62658.60460233317,62119.98975240576,62334.47640858768,0.8245934244378655,0.42648503586797415,0.5798441014768714
62812.2,1714409040000.0,62651.42235159097,62126.71632136878,62333.90672506201,0.8261789832105234,0.5226771629078697,0.5671425315391136
62843.1,1714409100000.0,62678.62776696868,61996.66892456755,62283.853243791404,0.8245876418595878,-0.27202795232040544,0.477530882645272
62879.5,1714409160000.0,62714.461126962284,62000.94408487808,62288.3913940163,0.8266078915864546,-0.2751848189857642,0.48705880884397224
62846.6,1714409220000.0,62682.911614572185,61996.80303168445,62272.63803392773,0.8261776186044398,-0.2595995698081881,0.4995339258995741
62849.0,1714409220000.0,62683.28258733042,61961.96551376245,62065.68849044425,0.78886125713499,-0.18394160997277775,0.3947376592055537
62861.9,1714409340000.0,62694.727703654105,61989.43553673999,62085.85077590839,0.7797880263745296,-0.2242064234093959,0.38020750947035353
62827.2,1714409400000.0,62666.671293112035,61956.54226794909,62056.207775726856,0.8150909421124299,-0.184721408427571,0.3757205868733403
