open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712620800000,71678.30,71749.10,71650.70,71733.30,334.749,1712620979999,24000261.35830,7706,177.909,12756695.21330,0
1712620980000,71733.30,71733.40,71658.70,71679.70,220.666,1712621159999,15816395.35250,4819,98.638,7069576.21780,0
1712621160000,71679.70,71735.70,71665.30,71705.60,141.902,1712621339999,10173684.54570,4168,75.113,5384970.67080,0
1712621340000,71705.70,71739.30,71690.00,71713.40,115.448,1712621519999,8279281.95300,3282,58.907,4224457.80740,0
1712621520000,71713.40,71772.10,71705.20,71772.10,222.110,1712621699999,15933336.89540,4095,150.179,10773490.96710,0
1712621700000,71767.10,71809.30,71747.00,71805.30,178.443,1712621879999,12808106.67820,4075,94.940,6814421.24910,0
1712621880000,71805.20,71820.60,71710.50,71710.60,201.026,1712622059999,14425571.19710,4899,67.014,4809553.05460,0
1712622060000,71710.40,71710.40,71660.00,71660.00,285.369,1712622239999,20454104.05440,5366,79.307,5684392.11990,0
1712622240000,71659.90,71675.90,71472.40,71492.60,1180.126,1712622419999,84454153.27030,20989,328.942,23539333.17630,0
1712622420000,71492.70,71526.00,71433.50,71479.90,613.889,1712622599999,43873489.54300,14272,273.085,19518267.03640,0
1712622600000,71480.00,71563.20,71453.20,71527.10,528.444,1712622779999,37793507.26380,9571,341.363,24414164.48850,0
1712622780000,71527.20,71572.50,71463.00,71524.60,381.335,1712622959999,27267236.01950,8445,151.380,10825835.02880,0
1712622960000,71524.60,71704.30,71500.00,71546.90,561.913,1712623139999,40234953.73460,13613,304.988,21838213.95080,0
1712623140000,71546.90,71598.30,71470.60,71501.90,285.863,1712623319999,20443408.47650,7503,134.581,9624325.48490,0
1712623320000,71501.80,71509.50,71421.00,71488.70,374.267,1712623499999,26746971.15590,9972,173.640,12409715.45440,0
1712623500000,71488.70,71516.00,71409.90,71409.90,341.915,1712623679999,24430291.19580,7881,129.434,9249369.45730,0
1712623680000,71409.80,71432.00,71359.40,71407.00,599.517,1712623859999,42803574.77640,10603,200.589,14322238.94680,0
1712623860000,71407.00,71528.00,71386.20,71526.70,265.363,1712624039999,18961948.26360,6616,198.990,14220191.21260,0
1712624040000,71526.80,71557.00,71463.10,71474.60,226.034,1712624219999,16165516.45950,5554,127.825,9142419.43390,0
1712624220000,71473.70,71511.60,71441.50,71470.00,192.065,1712624399999,13726318.37550,5603,74.377,5315801.80400,0
1712624400000,71470.00,71495.40,71416.00,71495.00,245.722,1712624579999,17556718.31380,6203,112.078,8008775.89670,0
1712624580000,71494.90,71499.00,71351.00,71368.80,341.231,1712624759999,24364009.70090,7620,102.126,7292866.74520,0
1712624760000,71368.70,71380.00,71050.00,71181.40,3387.046,1712624939999,241041515.22230,50515,1235.688,87938859.14860,0
1712624940000,71181.30,71202.60,70915.40,70950.20,2641.873,1712625119999,187599551.75566,36236,986.249,70042877.89090,0
1712625120000,70950.10,71133.30,70900.00,71122.60,1515.188,1712625299999,107610842.77150,23536,848.830,60291334.14030,0
1712625300000,71122.70,71151.20,70959.90,71063.90,850.659,1712625479999,60444015.73480,16766,394.611,28043571.81470,0
1712625480000,71064.00,71087.10,70956.30,71081.90,582.171,1712625659999,41338993.19050,18824,271.107,19251959.79440,0
1712625660000,71081.90,71262.20,71052.30,71243.90,760.142,1712625839999,54106804.19810,15259,540.923,38505058.92420,0
1712625840000,71243.90,71336.00,71123.50,71317.80,787.052,1712626019999,56074325.51720,15468,435.354,31017873.67650,0
1712626020000,71317.90,71348.60,71270.00,71270.00,354.440,1712626199999,25275381.98770,8337,199.377,14218673.24160,0
1712626200000,71270.00,71317.00,71181.60,71196.40,412.594,1712626379999,29397905.57040,8977,158.090,11266170.40990,0
1712626380000,71196.40,71297.80,71188.80,71223.50,392.007,1712626559999,27929671.16560,8453,220.388,15703172.53820,0
1712626560000,71223.40,71223.50,71126.90,71200.00,370.143,1712626739999,26347438.86120,8053,189.604,13496387.49780,0
1712626740000,71199.90,71275.20,71144.20,71266.00,206.598,1712626919999,14712893.68040,7305,120.994,8617020.83770,0
1712626920000,71265.90,71369.40,71255.70,71354.40,359.499,1712627099999,25640744.03500,7622,239.298,17067682.97080,0
1712627100000,71354.40,71400.00,71296.00,71352.40,400.319,1712627279999,28565806.37870,8669,197.040,14060878.49910,0
1712627280000,71352.50,71374.30,71278.00,71281.50,172.640,1712627459999,12315312.63660,5703,74.804,5336336.82060,0
1712627460000,71281.60,71295.80,71237.10,71246.60,166.514,1712627639999,11867689.74000,5209,70.595,5031649.31780,0
1712627640000,71246.60,71343.30,71246.60,71296.70,180.564,1712627819999,12873775.90700,5051,119.863,8545964.21390,0
1712627820000,71296.40,71365.30,71296.00,71318.60,125.684,1712627999999,8964728.60410,3547,75.549,5388817.58730,0
1712628000000,71318.50,71325.00,71235.60,71249.40,245.263,1712628179999,17480247.48690,5745,76.709,5467312.45860,0
1712628180000,71249.50,71309.80,71235.00,71235.00,162.110,1712628359999,11551804.03480,4099,60.862,4337033.36440,0
