open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713225600000,63392.80,63419.10,63287.00,63404.40,608.221,1713225779999,38526794.02860,9920,292.446,18525442.25230,0
1713225780000,63404.30,63474.90,63328.00,63384.30,406.516,1713225959999,25780535.90380,6846,243.323,15432062.97470,0
1713225960000,63384.40,63384.40,63280.00,63285.10,472.417,1713226139999,29913256.24670,8486,264.596,16754622.58140,0
1713226140000,63285.10,63463.40,63280.40,63404.50,429.932,1713226319999,27248364.91370,7505,213.781,13547427.72630,0
1713226320000,63404.40,63563.00,63380.50,63560.10,795.889,1713226499999,50539349.85580,10954,405.391,25742688.47040,0
1713226500000,63560.10,63700.00,63521.70,63601.10,1086.567,1713226679999,69130818.19680,17547,601.530,38270767.85380,0
1713226680000,63601.10,63612.80,63326.20,63435.90,1104.982,1713226859999,70064799.88760,16358,417.684,26482282.89370,0
1713226860000,63435.90,63533.40,63382.50,63533.40,444.820,1713227039999,28231985.29490,9028,268.830,17062695.59190,0
1713227040000,63533.40,63533.40,63238.80,63300.00,870.354,1713227219999,55121978.20600,12924,403.548,25550551.30470,0
1713227220000,63300.10,63311.70,63195.90,63249.10,610.950,1713227399999,38642196.43760,9749,334.901,21182704.62440,0
1713227400000,63249.10,63265.30,63165.50,63181.30,440.580,1713227579999,27846279.37550,8710,171.975,10869697.45170,0
1713227580000,63181.30,63370.00,63180.20,63346.60,499.433,1713227759999,31610671.43040,8730,282.807,17896206.47500,0
1713227760000,63346.50,63346.60,63026.00,63063.10,858.510,1713227939999,54192293.13160,13764,324.490,20481656.12430,0
1713227940000,63063.10,63158.00,63008.20,63111.60,619.891,1713228119999,39096440.69730,10792,368.987,23273740.17020,0
1713228120000,63111.60,63123.00,63025.00,63038.60,455.880,1713228299999,28753777.06450,7151,161.432,10181920.67820,0
1713228300000,63038.60,63169.50,62899.90,63121.20,1042.794,1713228479999,65683205.81348,16462,508.211,32017730.36070,0
1713228480000,63121.20,63219.80,63110.00,63183.80,335.826,1713228659999,21210959.11190,7654,188.721,11919954.80270,0
1713228660000,63183.80,63223.60,63154.20,63200.00,219.887,1713228839999,13895424.65690,5675,119.949,7579806.91240,0
1713228840000,63200.00,63239.50,63169.10,63235.70,202.344,1713229019999,12790924.96280,4841,98.179,6206319.60410,0
1713229020000,63235.80,63238.00,63183.00,63238.00,137.119,1713229199999,8667918.03770,3418,77.698,4911740.59600,0
