open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712880000000,70055.60,70066.50,70044.40,70045.70,93.004,1712880059999,6515213.87170,1596,33.527,2348698.94800,0
1712880060000,70045.60,70128.90,70045.60,70114.00,83.356,1712880119999,5841953.89730,1721,56.286,3944590.41010,0
1712880120000,70115.00,70128.00,70112.10,70125.40,22.755,1712880179999,1595600.36400,968,17.854,1251920.86220,0
1712880180000,70125.30,70199.80,70125.30,70171.60,212.084,1712880239999,14882138.05930,3285,164.155,11518836.20610,0
1712880240000,70171.60,70181.60,70163.80,70181.60,30.991,1712880299999,2174664.62680,940,22.730,1594989.94560,0
1712880300000,70181.60,70260.20,70181.50,70251.80,202.835,1712880359999,14245066.65170,3795,171.461,12041701.13080,0
1712880360000,70251.80,70251.90,70222.50,70247.90,95.854,1712880419999,6732673.52100,2054,55.403,3891452.67470,0
1712880420000,70247.90,70247.90,70206.20,70242.10,70.921,1712880479999,4980504.91330,1366,49.534,3478484.87900,0
1712880480000,70242.00,70242.10,70193.10,70196.10,95.345,1712880539999,6695419.59730,1698,21.389,1501853.35830,0
1712880540000,70196.20,70240.00,70196.20,70240.00,80.428,1712880599999,5648262.58190,1438,41.638,2924100.62890,0
1712880600000,70240.00,70317.10,70240.00,70309.90,161.605,1712880659999,11359322.51450,3644,122.111,8583073.75410,0
1712880660000,70310.00,70355.60,70306.30,70330.50,239.307,1712880719999,16831489.53850,3463,151.302,10641557.87410,0
1712880720000,70330.50,70336.50,70297.80,70306.00,98.121,1712880779999,6899456.14510,1982,26.579,1869042.48920,0
1712880780000,70306.10,70330.20,70306.00,70306.10,97.577,1712880839999,6861354.25590,1635,58.085,4084171.27780,0
1712880840000,70306.00,70306.00,70277.20,70277.30,65.522,1712880899999,4605271.99350,1222,32.774,2303425.00090,0
1712880900000,70277.20,70352.90,70277.10,70335.50,116.606,1712880959999,8199855.35980,1890,78.096,5491619.70040,0
1712880960000,70335.50,70370.20,70313.20,70361.50,110.723,1712881019999,7789272.01750,2377,61.870,4352676.23100,0
1712881020000,70361.40,70379.90,70351.40,70351.50,60.947,1712881079999,4288654.23870,1823,31.057,2185440.46620,0
1712881080000,70351.40,70384.30,70332.50,70332.50,68.475,1712881139999,4818143.53550,1945,33.018,2323409.37010,0
1712881140000,70332.40,70337.50,70315.00,70319.90,57.028,1712881199999,4010283.62360,1358,27.309,1920337.22880,0
1712881200000,70320.00,70320.00,70272.50,70272.50,66.261,1712881259999,4658003.32910,1755,10.785,758197.57510,0
1712881260000,70272.60,70324.40,70246.20,70284.00,89.740,1712881319999,6306605.89190,2032,21.975,1544302.56770,0
1712881320000,70284.10,70284.10,70199.90,70229.60,105.894,1712881379999,7435729.97320,2304,21.469,1507493.94300,0
1712881380000,70229.60,70230.00,70202.50,70224.10,50.384,1712881439999,3537852.18940,1279,20.602,1446615.13000,0
1712881440000,70224.50,70230.00,70194.80,70194.80,56.362,1712881499999,3957301.66370,1412,9.889,694340.05910,0
1712881500000,70194.80,70225.00,70188.80,70211.50,53.448,1712881559999,3752186.85760,1692,25.429,1785158.81030,0
1712881560000,70211.60,70260.00,70211.50,70243.40,61.930,1712881619999,4350131.85170,1651,45.573,3201082.78430,0
1712881620000,70243.40,70308.90,70243.30,70298.90,51.677,1712881679999,3632104.59180,1607,26.219,1842633.05590,0
1712881680000,70299.00,70317.60,70298.30,70300.00,58.138,1712881739999,4087610.55360,1099,16.785,1180063.82740,0
1712881740000,70300.10,70319.70,70300.00,70316.50,34.100,1712881799999,2397494.69460,1191,22.272,1565889.64580,0
1712881800000,70316.60,70349.90,70299.70,70347.50,61.670,1712881859999,4336708.16470,1844,36.031,2533785.18350,0
1712881860000,70347.40,70347.40,70288.00,70288.10,42.332,1712881919999,2976109.83490,1254,6.413,450815.61890,0
1712881920000,70288.10,70347.00,70288.00,70313.20,31.311,1712881979999,2201839.73790,1472,19.334,1359518.02820,0
1712881980000,70313.20,70334.20,70289.50,70289.50,28.974,1712882039999,2037157.59660,1392,10.609,745968.60190,0
1712882040000,70289.50,70343.90,70289.50,70322.70,65.261,1712882099999,4589850.35810,1808,51.440,3617776.74650,0
1712882100000,70322.60,70333.50,70285.60,70301.60,61.760,1712882159999,4341834.46740,1603,12.665,890444.40250,0
1712882160000,70301.60,70333.00,70276.50,70329.40,50.208,1712882219999,3529703.03780,1348,27.203,1912376.85360,0
1712882220000,70329.30,70338.90,70283.60,70283.60,80.065,1712882279999,5630331.49850,1652,47.876,3366865.93400,0
1712882280000,70283.60,70316.50,70283.60,70301.70,20.195,1712882339999,1419761.48630,822,10.672,750250.78590,0
1712882340000,70301.70,70331.50,70301.70,70319.90,28.614,1712882399999,2012203.77330,1007,16.881,1187056.16740,0
1712882400000,70319.90,70331.00,70270.50,70290.80,43.890,1712882459999,3085417.59090,1591,23.210,1631714.44890,0
1712882460000,70290.80,70335.30,70284.40,70335.20,34.129,1712882519999,2399775.27610,1148,17.457,1227510.74050,0
1712882520000,70335.20,70355.00,70335.10,70342.40,32.937,1712882579999,2316935.65970,1144,21.721,1527942.94350,0
1712882580000,70342.40,70346.60,70329.00,70337.90,29.849,1712882639999,2099567.34380,786,7.833,550944.28590,0
1712882640000,70338.00,70362.10,70334.90,70358.90,40.737,1712882699999,2865923.16000,1152,27.282,1919400.34960,0
1712882700000,70358.80,70380.00,70358.00,70378.90,68.657,1712882759999,4831307.02680,1439,51.026,3590571.56940,0
1712882760000,70378.90,70379.70,70375.90,70377.50,33.308,1712882819999,2344115.54920,939,17.077,1201825.54670,0
1712882820000,70377.40,70377.40,70325.60,70347.00,66.693,1712882879999,4692138.20520,2071,16.633,1170168.86650,0
1712882880000,70347.10,70362.30,70347.00,70353.00,26.037,1712882939999,1831835.99880,798,11.308,795555.35120,0
1712882940000,70353.00,70353.00,70316.00,70350.00,40.555,1712882999999,2852312.94070,1548,12.223,859697.29010,0
1712883000000,70350.00,70377.60,70339.50,70339.50,55.388,1712883059999,3896953.94860,1428,17.197,1209912.84590,0
1712883060000,70339.60,70365.90,70323.60,70362.40,60.496,1712883119999,4255573.49020,1334,38.690,2721730.58490,0
1712883120000,70362.40,70378.30,70355.60,70365.10,36.065,1712883179999,2537695.11140,1246,26.765,1883309.52150,0
1712883180000,70365.20,70365.20,70321.40,70322.10,47.714,1712883239999,3356301.84670,1472,15.149,1065603.04600,0
1712883240000,70322.10,70360.00,70316.30,70323.60,110.734,1712883299999,7788805.88690,1756,19.861,1396950.11760,0
1712883300000,70323.60,70339.50,70308.10,70314.10,36.478,1712883359999,2565108.49750,1154,16.828,1183335.07590,0
1712883360000,70314.10,70324.50,70308.80,70308.80,53.864,1712883419999,3787451.80410,840,8.587,603799.25610,0
1712883420000,70308.90,70336.00,70300.00,70336.00,26.986,1712883479999,1897524.72580,679,15.101,1061843.64550,0
1712883480000,70335.90,70351.00,70335.90,70351.00,96.809,1712883539999,6809916.11630,1059,71.322,5017012.91970,0
1712883540000,70351.00,70361.20,70336.30,70342.00,37.219,1712883599999,2618324.51200,1165,17.527,1233045.12080,0
1712883600000,70342.00,70353.10,70298.00,70298.10,55.587,1712883659999,3908962.17940,1666,19.955,1403345.29300,0
1712883660000,70298.10,70336.40,70298.10,70336.40,31.959,1712883719999,2247433.49000,1301,22.463,1579618.79590,0
1712883720000,70336.40,70358.20,70328.50,70358.20,27.950,1712883779999,1966117.63020,1101,21.880,1539137.89440,0
1712883780000,70358.20,70362.00,70321.40,70321.40,33.339,1712883839999,2345242.38260,1295,10.859,763937.53990,0
1712883840000,70321.40,70356.80,70321.40,70335.40,28.182,1712883899999,1982451.97140,887,13.493,949160.65110,0
1712883900000,70335.50,70384.80,70327.10,70384.80,40.451,1712883959999,2846018.48320,1439,27.375,1926117.57220,0
1712883960000,70384.90,70421.70,70351.40,70369.70,118.643,1712884019999,8351940.38000,3203,80.646,5677355.11280,0
1712884020000,70369.70,70369.70,70290.90,70290.90,73.220,1712884079999,5148816.28070,1935,14.441,1015446.46450,0
1712884080000,70291.00,70310.10,70281.30,70300.00,68.875,1712884139999,4841551.31810,1403,30.640,2153792.05080,0
1712884140000,70300.10,70313.60,70280.00,70280.00,56.129,1712884199999,3945431.32560,1232,14.661,1030685.55550,0
1712884200000,70280.10,70280.10,70239.40,70252.30,117.824,1712884259999,8278065.37640,2506,37.306,2621029.84060,0
1712884260000,70252.40,70264.50,70207.60,70213.60,70.941,1712884319999,4981633.67520,1829,15.152,1063920.81070,0
1712884320000,70213.60,70214.00,70200.90,70211.50,59.133,1712884379999,4151614.25630,1075,17.359,1218731.17230,0
1712884380000,70211.50,70241.00,70204.10,70237.20,59.678,1712884439999,4190655.40790,1112,30.054,2110427.49570,0
1712884440000,70237.20,70254.00,70237.20,70250.00,31.143,1712884499999,2187801.34350,624,20.067,1409695.96750,0
1712884500000,70250.00,70280.00,70207.10,70280.00,51.013,1712884559999,3582899.30120,1514,23.996,1685667.99300,0
1712884560000,70280.00,70291.70,70254.60,70257.30,45.894,1712884619999,3225493.04210,1110,18.325,1287910.73180,0
1712884620000,70257.30,70275.50,70237.60,70268.00,86.533,1712884679999,6080248.02020,2011,26.611,1869798.86270,0
1712884680000,70268.00,70268.00,70218.30,70242.00,78.905,1712884739999,5542558.08930,1609,43.520,3057316.58950,0
1712884740000,70239.60,70266.00,70228.40,70265.90,23.020,1712884799999,1616963.50850,774,14.878,1045071.01540,0
1712884800000,70265.90,70305.10,70235.30,70240.00,58.497,1712884859999,4110663.73180,1967,30.616,2151683.20370,0
1712884860000,70239.90,70255.90,70225.40,70250.90,37.062,1712884919999,2603130.21560,1241,20.909,1468567.04680,0
1712884920000,70250.80,70250.90,70219.00,70226.90,38.032,1712884979999,2670911.72150,1193,11.378,799027.12500,0
1712884980000,70226.80,70226.80,70205.90,70211.90,21.871,1712885039999,1535652.15170,834,3.528,247703.15520,0
1712885040000,70211.90,70242.00,70195.80,70241.10,53.856,1712885099999,3781494.65360,1702,16.820,1181034.50950,0
