open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713744000000,64912.70,64929.50,64884.30,64912.70,128.215,1713744059999,8322532.16570,1987,50.273,3263288.91410,0
1713744060000,64912.70,64929.00,64894.80,64894.80,23.929,1713744119999,1553229.10550,851,11.409,740539.84310,0
1713744120000,64894.80,64907.60,64894.80,64906.90,22.233,1713744179999,1442965.15970,566,15.811,1026181.36780,0
1713744180000,64907.00,64961.70,64906.60,64958.60,89.282,1713744239999,5797818.46170,1811,63.060,4095160.45730,0
1713744240000,64958.60,64971.70,64919.80,64927.40,75.183,1713744299999,4883112.51600,1658,19.792,1285617.68600,0
1713744300000,64927.40,64968.00,64927.40,64956.70,43.523,1713744359999,2826635.80140,1117,32.297,2097539.98570,0
1713744360000,64956.60,64980.30,64944.00,64963.10,53.976,1713744419999,3506540.66770,1364,27.542,1789352.26030,0
1713744420000,64963.00,65026.20,64963.00,65004.60,295.923,1713744479999,19236689.11820,2947,176.408,11466419.10320,0
1713744480000,65004.60,65033.40,65003.50,65008.90,106.419,1713744539999,6919067.80920,1670,55.633,3617017.33450,0
1713744540000,65008.90,65087.40,65008.90,65084.50,212.641,1713744599999,13834560.65890,3253,146.329,9520270.68740,0
1713744600000,65084.50,65134.90,65051.60,65051.60,246.829,1713744659999,16067537.38150,3914,164.903,10735812.79850,0
1713744660000,65051.60,65089.80,65045.20,65052.90,80.671,1713744719999,5249293.47870,1830,43.796,2849732.27920,0
1713744720000,65052.90,65053.00,64989.20,65014.90,90.087,1713744779999,5857153.35260,1889,18.298,1189590.71110,0
1713744780000,65015.00,65125.30,65014.90,65104.40,123.511,1713744839999,8039886.85770,2353,79.861,5198043.31940,0
1713744840000,65104.40,65104.40,65070.90,65083.60,75.396,1713744899999,4907115.36580,1577,23.894,1555083.82280,0
1713744900000,65083.60,65128.80,65078.80,65100.00,106.649,1713744959999,6943818.38950,2039,54.742,3564230.98850,0
1713744960000,65100.00,65100.10,65051.70,65073.70,75.884,1713745019999,4937713.88420,1766,28.194,1834473.18080,0
1713745020000,65073.80,65135.60,65062.90,65070.10,92.099,1713745079999,5995550.55170,2148,40.317,2624952.13280,0
1713745080000,65070.10,65090.60,65050.80,65060.00,51.029,1713745139999,3320175.39270,1569,19.955,1298431.39960,0
1713745140000,65060.10,65120.00,65060.00,65090.50,40.862,1713745199999,2659666.15240,1357,25.672,1670928.96120,0
1713745200000,65090.50,65099.40,65030.70,65058.00,154.286,1713745259999,10037907.44060,2589,47.043,3060286.20600,0
1713745260000,65058.00,65086.50,65054.90,65067.20,66.477,1713745319999,4325583.30820,1461,37.690,2452484.02970,0
1713745320000,65067.10,65079.70,65020.80,65051.60,64.153,1713745379999,4172442.47590,1661,24.384,1585841.93920,0
1713745380000,65051.60,65075.60,65045.30,65073.30,37.351,1713745439999,2430171.82660,1233,16.444,1069897.87500,0
1713745440000,65073.40,65073.40,65009.50,65023.80,51.278,1713745499999,3334369.44690,1379,6.865,446491.78780,0
1713745500000,65023.90,65034.90,65007.00,65034.00,36.649,1713745559999,2382841.48100,1017,13.478,876333.51090,0
1713745560000,65033.90,65034.00,64989.20,65020.90,52.899,1713745619999,3438677.08910,1651,11.735,762875.61360,0
1713745620000,65020.90,65027.00,64946.70,64976.30,109.916,1713745679999,7141918.50970,2178,33.982,2207919.39500,0
1713745680000,64976.40,64994.90,64966.60,64994.80,40.335,1713745739999,2621014.83220,1160,20.967,1362422.85410,0
1713745740000,64994.80,65020.00,64990.00,64994.70,54.794,1713745799999,3561999.35310,1382,32.254,2096727.82210,0
1713745800000,64994.70,65003.50,64949.50,64950.00,83.554,1713745859999,5428639.02560,1811,22.450,1458733.71200,0
1713745860000,64950.00,64959.30,64876.10,64934.20,500.137,1713745919999,32466060.48710,5389,209.614,13607019.69140,0
1713745920000,64934.30,64934.30,64887.50,64887.50,53.669,1713745979999,3483543.21550,1424,21.924,1423047.96460,0
1713745980000,64887.60,64917.80,64850.00,64865.50,142.002,1713746039999,9212739.59990,3194,55.376,3592961.88190,0
1713746040000,64865.40,64874.00,64764.10,64783.30,288.735,1713746099999,18710522.29090,4658,84.814,5495244.49400,0
