open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712275200000,68489.80,68506.00,68373.00,68383.20,569.106,1712275259999,38944334.93360,5560,109.540,7498397.12890,0
1712275260000,68383.10,68441.20,68376.20,68413.90,144.909,1712275319999,9913841.22340,2725,74.563,5100653.68220,0
1712275320000,68414.00,68423.70,68393.40,68412.40,116.144,1712275379999,7944772.28200,2416,38.214,2614023.64120,0
1712275380000,68412.40,68417.50,68360.00,68360.00,140.007,1712275439999,9574000.95200,2505,37.360,2554771.87280,0
1712275440000,68360.10,68399.00,68324.70,68344.60,259.224,1712275499999,17719385.04820,3871,75.208,5141209.22700,0
1712275500000,68344.60,68385.30,68344.50,68353.70,144.221,1712275559999,9860675.06390,2145,71.882,4914798.75320,0
1712275560000,68353.70,68400.00,68350.00,68384.30,70.779,1712275619999,4839974.77050,1906,43.998,3008681.01810,0
1712275620000,68384.20,68387.20,68332.00,68333.80,122.179,1712275679999,8352266.51700,2024,30.619,2092865.43190,0
1712275680000,68333.90,68351.80,68318.00,68349.90,75.980,1712275739999,5192153.17660,1776,25.695,1755818.30410,0
1712275740000,68350.00,68362.70,68341.50,68358.00,49.909,1712275799999,3411436.96510,1234,30.481,2083483.91070,0
1712275800000,68357.90,68358.10,68333.20,68347.90,66.268,1712275859999,4529183.35730,1360,14.664,1002253.45280,0
1712275860000,68348.00,68348.80,68336.90,68342.30,40.462,1712275919999,2765263.73350,928,12.249,837116.20310,0
1712275920000,68342.30,68352.10,68336.00,68352.10,68.247,1712275979999,4664078.81480,769,55.020,3760156.82170,0
1712275980000,68352.10,68389.90,68352.00,68388.40,76.859,1712276039999,5255333.58770,1236,55.225,3776171.66380,0
1712276040000,68388.50,68390.10,68340.00,68346.50,44.882,1712276099999,3068140.88520,1063,18.538,1267253.60100,0
1712276100000,68346.60,68375.10,68281.10,68375.10,194.511,1712276159999,13289551.06170,2951,61.987,4235567.28960,0
1712276160000,68375.10,68406.60,68291.40,68291.40,108.052,1712276219999,7386936.99200,2491,54.899,3753873.51560,0
1712276220000,68291.50,68317.20,68282.70,68305.60,82.727,1712276279999,5650022.90650,1423,35.013,2391294.49460,0
1712276280000,68305.50,68308.10,68250.00,68267.70,136.476,1712276339999,9317613.12110,2584,49.032,3347937.66510,0
1712276340000,68267.70,68267.70,68242.20,68262.20,75.978,1712276399999,5185754.94550,1326,15.066,1028308.31690,0
1712276400000,68262.20,68267.70,68217.30,68219.10,151.198,1712276459999,10317893.48160,2483,65.774,4488567.12380,0
1712276460000,68219.10,68257.60,68200.00,68206.50,226.605,1712276519999,15459490.54030,3086,122.650,8366851.85040,0
