open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713312000000,63764.90,64283.30,63541.70,63806.00,28336.977,1713326399999,1809802566.56522,510001,13998.522,894096840.21592,0
1713326400000,63806.10,64483.30,63170.50,63260.80,36161.176,1713340799999,2307597934.77560,585891,17681.024,1128652368.11540,0
1713340800000,63260.70,63562.70,62490.00,62576.90,41805.835,1713355199999,2635868446.87698,613908,20201.509,1274179398.12810,0
1713355200000,62576.80,62957.20,59713.20,60272.00,180202.594,1713369599999,11053486212.86510,2190895,86604.994,5313675791.93676,0
1713369600000,60274.00,61938.00,59625.00,60997.20,122038.404,1713383999999,7420950640.49418,1573241,61458.238,3738035860.70058,0
1713384000000,60997.10,61743.70,60741.30,61254.50,35488.006,1713398399999,2174639304.20110,539481,17720.869,1086027532.12320,0
