open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712361600000,67825.80,67865.00,67676.00,67799.00,1681.680,1712362499999,113956162.31060,24382,828.605,56149068.12090,0
1712362500000,67799.00,67872.00,67731.00,67870.00,784.874,1712363399999,53235250.50440,15286,416.685,28264501.69360,0
1712363400000,67870.00,68074.80,67858.90,67919.70,1829.278,1712364299999,124343420.98940,29659,948.797,64506622.10880,0
1712364300000,67919.60,68000.00,67822.00,67905.60,974.571,1712365199999,66200023.66940,18849,468.294,31812375.81750,0
1712365200000,67905.50,67968.10,67796.10,67817.60,852.894,1712366099999,57891998.42290,17318,347.033,23557932.15870,0
1712366100000,67817.60,67982.20,67807.20,67918.10,565.123,1712366999999,38386588.98090,14288,296.339,20127468.43930,0
1712367000000,67918.10,67940.10,67772.90,67794.50,759.994,1712367899999,51557397.59290,16909,319.521,21676504.17710,0
1712367900000,67794.50,67838.40,67644.70,67699.90,1608.633,1712368799999,108950805.80270,26324,669.339,45333162.28040,0
1712368800000,67700.00,67771.00,67665.30,67665.30,645.596,1712369699999,43720451.71470,16231,324.080,21948252.37500,0
1712369700000,67665.30,67728.10,67588.10,67599.90,1270.940,1712370599999,85980878.37370,19990,558.579,37790102.26080,0
1712370600000,67600.00,67659.80,67450.00,67500.30,2552.630,1712371499999,172358862.27910,31364,979.369,66126581.20900,0
1712371500000,67500.30,67598.00,67500.30,67573.60,657.174,1712372399999,44403982.18480,12138,381.964,25808109.67170,0
1712372400000,67573.60,67743.60,67573.60,67719.90,1390.641,1712373299999,94112157.59240,16084,925.991,62663050.90840,0
1712373300000,67719.90,67893.00,67684.00,67743.90,1232.246,1712374199999,83550894.00110,20320,525.486,35627686.22180,0
1712374200000,67743.80,67780.00,67619.30,67636.30,778.341,1712375099999,52693476.86560,15601,302.827,20502731.97980,0
1712375100000,67636.30,67818.10,67606.60,67793.30,895.807,1712375999999,60652811.33780,15029,535.887,36285483.70980,0
1712376000000,67793.40,67827.60,67739.70,67770.70,594.216,1712376899999,40279503.76480,11410,300.308,20357538.47490,0
1712376900000,67770.60,67798.70,67670.00,67670.10,474.568,1712377799999,32147383.55550,9619,178.909,12121235.45960,0
1712377800000,67670.00,67798.40,67651.50,67678.70,642.548,1712378699999,43509847.05050,12161,275.690,18667750.49970,0
